prioridade;acao;motivo;sku;sku_root;anuncio_id;titulo;preco_atual;preco_sugerido;delta_preco;preco_minimo_margem;margem_atual;margem_preco_sugerido;menor_concorrencia;custo;tarifa_percentual;frete_pago;valor_recebe_atual;repasse_sugerido;status_competicao;estoque;origem_custo;url
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX4554452195;DPX4554452195;4601722023;;28.49;28.49;0;21.16;39.1;39.1;0;10.8;0;6.55;0;21.94;PERDENDO;135;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX1368785816;DPX1368785816;6605168848;;64.99;64.99;0;59.57;24.83;24.83;0;35;0;13.85;0;51.14;PERDENDO;18;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX9991872406;DPX9991872406;6673489878;;27.99;27.99;0;26.27;23.04;23.04;0;14.99;0;6.55;0;21.44;PERDENDO;6;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX3055369787;DPX3055369787;6673489622;;21.99;21.99;0;20.29;24.33;24.33;0;9.99;0;6.65;0;15.34;PERDENDO;85;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX4941582800;DPX4941582800;6673402310;;14.99;14.99;0;14.82;18.95;18.95;0;6.5;0;5.65;0;9.34;PERDENDO;10;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX7643080408;DPX7643080408;4631438725;;23.99;23.99;0;20.17;31.05;31.05;0;9.99;0;6.55;0;17.44;PERDENDO;14;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX1537546387;DPX1537546387;6673402188;;42.99;42.99;0;40.18;23.35;23.35;0;25;0;7.95;0;35.04;GANHANDO;10;data/produtos.json;
ALTA;SUBIR_PARA_MARGEM;Preço atual não garante margem mínima.;DPX9017699416;DPX9017699416;6673490790;;21.2;22.85;1.65;22.85;11.6;17.99;0;11.99;0;6.75;0;16.1;PERDENDO;72;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX7987153451;DPX7987153451;6673490798;;24.99;24.99;0;23.83;21.81;21.81;0;12.99;0;6.55;0;18.44;PERDENDO;1;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX3944918988;DPX3944918988;6673489614;;32.59;32.59;0;29.93;24.7;24.7;0;17.99;0;6.55;0;26.04;PERDENDO;12;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX7344299959;DPX7344299959;6673489934;;16.29;16.29;0;15.41;22.41;22.41;0;6.99;0;5.65;0;10.64;PERDENDO;16;data/produtos.json;
